Method,Bugs,MFR,MAR,Top1Rate,Top2Rate,Top3Rate,Top4Rate,Top5Rate,MeanWE,TotalInputTokens,TotalCachedTokens,TotalOutputTokens,TotalCostUSD,MeanCostUSD
Agent4LR-M2R1-M2R1-M2R1,226,1.325221,1.453890,0.827434,0.938053,0.973451,0.986726,0.991150,0.039041,5571324,862464,134777,1.468322,0.006497
Agent4LR-M2R1-M2R1-M2R2,226,1.243363,1.377839,0.849558,0.938053,0.977876,0.991150,1.000000,0.032671,5571324,754816,195117,1.613216,0.007138
Agent4LR-M2R1-M2R1-M2R3,226,1.250000,1.387426,0.853982,0.938053,0.982301,0.995575,0.995575,0.033833,5571324,763520,337070,1.895169,0.008386
Agent4LR-M2R1-M2R1-M3R1,226,1.176991,1.292681,0.884956,0.969027,0.991150,0.995575,0.995575,0.025281,5571324,827904,134805,2.416544,0.010693
Agent4LR-M2R1-M2R2-M2R1,226,1.261062,1.394893,0.831858,0.933628,0.973451,1.000000,1.000000,0.034743,3784454,609536,224457,1.257885,0.005566
Agent4LR-M2R1-M2R3-M2R1,226,1.280973,1.394156,0.845133,0.942478,0.973451,0.991150,0.995575,0.031100,4040279,665472,615929,2.092192,0.009257
Agent4LR-M2R1-M3R1-M2R1,226,1.323009,1.462740,0.836283,0.942478,0.969027,0.982301,0.991150,0.039916,5071436,1322368,138498,4.500360,0.019913
Agent4LR-M2R1-M3R1-M3R1,226,1.168142,1.296165,0.884956,0.955752,0.995575,0.995575,1.000000,0.026279,5071436,1277824,138610,5.399648,0.023892
Agent4LR-M2R2-M1R1-M1R1,226,2.446903,2.570999,0.491150,0.761062,0.858407,0.893805,0.911504,0.121700,4968387,266368,194389,0.591687,0.002618
Agent4LR-M2R2-M2R1-M2R1,226,1.307522,1.449097,0.805310,0.951327,0.973451,0.995575,0.995575,0.038232,5819762,773760,199286,1.679423,0.007431
Agent4LR-M2R2-M2R2-M2R2,226,1.278761,1.397843,0.809735,0.946903,0.969027,0.995575,1.000000,0.033434,3992545,516480,344522,1.570967,0.006951
Agent4LR-M2R2-M3R1-M3R1,226,1.168142,1.294156,0.858407,0.986726,0.991150,0.995575,1.000000,0.025980,4698207,1119872,198408,5.203535,0.023024
Agent4LR-M2R3-M1R1-M1R1,226,2.539823,2.668049,0.553097,0.769912,0.840708,0.871681,0.884956,0.130166,4326011,315136,245661,0.668649,0.002959
Agent4LR-M2R3-M2R1-M2R1,226,1.311947,1.458315,0.823009,0.946903,0.964602,0.982301,0.995575,0.038706,5470873,735360,253928,1.710117,0.007567
Agent4LR-M2R3-M2R3-M2R3,226,1.243363,1.367625,0.853982,0.942478,0.973451,0.986726,1.000000,0.029036,4150857,486912,1071423,3.071009,0.013589
Agent4LR-M2R3-M3R1-M3R1,226,1.207965,1.331766,0.867257,0.964602,0.982301,0.995575,0.995575,0.028973,5007668,1314560,258331,5.515575,0.024405
Agent4LR-M3R1-M1R1-M1R1,226,2.577434,2.742017,0.469027,0.756637,0.845133,0.884956,0.898230,0.136697,4517663,355328,182400,1.897665,0.008397
Agent4LR-M3R1-M1R1-M3R1,226,1.362832,1.496221,0.836283,0.933628,0.969027,0.982301,0.982301,0.041878,4517663,395776,182400,2.940715,0.013012
Agent4LR-M3R1-M2R1-M2R1,226,1.252212,1.365395,0.823009,0.938053,0.986726,1.000000,1.000000,0.030328,6026130,821632,191171,3.051010,0.013500
Agent4LR-M3R1-M2R1-M3R1,226,1.194690,1.299318,0.845133,0.960177,1.000000,1.000000,1.000000,0.023605,6026130,930304,191185,3.932078,0.017399
Agent4LR-M3R1-M2R2-M3R1,226,1.254425,1.372327,0.845133,0.946903,0.986726,0.991150,0.995575,0.031279,4190778,686080,262387,3.506982,0.015518
Agent4LR-M3R1-M2R3-M3R1,226,1.216814,1.343566,0.849558,0.955752,0.982301,0.995575,1.000000,0.029790,4425731,663552,620868,4.251804,0.018813
Agent4LR-M3R1-M3R1-M1R1,226,2.176991,2.332504,0.570796,0.814159,0.871681,0.907080,0.938053,0.103699,4675140,910208,189499,5.585718,0.024716
Agent4LR-M3R1-M3R1-M2R1,226,1.256637,1.376456,0.823009,0.938053,0.982301,1.000000,1.000000,0.031642,4675140,957056,189412,5.763323,0.025501
Agent4LR-M3R1-M3R1-M2R2,226,1.265487,1.386412,0.823009,0.933628,0.982301,0.995575,1.000000,0.031807,4675140,885248,240248,5.881149,0.026023
Agent4LR-M3R1-M3R1-M2R3,226,1.289823,1.405218,0.836283,0.938053,0.977876,0.991150,0.995575,0.032686,4675856,893568,340245,6.079451,0.026900
Agent4LR-M3R1-M3R1-M3R1,226,1.212389,1.328079,0.840708,0.955752,0.991150,1.000000,1.000000,0.027799,4675140,1181568,189482,6.409482,0.028361
