project,bug,status,n_errors,n_warnings,fauxpy_supported,fault_sigs,unreached_sigs,error_msg
httpie,1,real_failure,8,1,true,0,0,
httpie,2,ok,0,0,true,2,0,
httpie,3,ok,0,0,true,1,0,
httpie,4,ok,0,0,true,1,0,
httpie,5,ok,0,0,true,1,0,
keras,1,ok,0,0,true,11,6,
keras,2,ok,0,0,true,1,0,
keras,3,ok,0,0,true,1,0,
keras,4,ok,0,0,true,1,0,
keras,5,ok,0,0,true,1,0,
keras,6,ok,0,0,true,1,0,
keras,7,ok,0,0,true,1,0,
keras,8,ok,0,0,true,1,0,
keras,9,ok,0,0,true,1,0,
keras,10,ok,0,0,true,1,0,
keras,11,ok,0,0,true,4,3,
keras,12,ok,0,0,true,0,0,
keras,13,ok,0,0,true,1,0,
keras,14,ok,0,0,true,1,0,
keras,15,ok,0,0,true,3,0,
keras,16,ok,0,0,true,3,0,
keras,17,ok,0,0,true,1,0,
keras,18,ok,0,0,true,4,0,
keras,19,ok,0,0,true,8,1,
keras,20,ok,0,0,true,9,2,
keras,21,ok,0,0,true,2,0,
keras,22,ok,0,0,true,1,0,
keras,23,ok,0,0,true,1,0,
keras,24,ok,0,0,true,1,0,
keras,25,ok,0,0,true,1,0,
keras,26,ok,0,0,true,1,0,
keras,27,ok,0,0,true,1,0,
keras,28,ok,0,0,true,2,0,
keras,29,ok,0,0,true,5,0,
keras,30,ok,0,0,true,2,0,
keras,31,ok,0,0,true,1,0,
keras,32,ok,0,0,true,3,0,
keras,33,ok,0,0,true,1,0,
keras,34,ok,0,0,true,4,1,
keras,35,ok,0,0,true,3,0,
keras,36,ok,0,0,true,1,0,
keras,37,ok,0,0,true,4,1,
keras,38,ok,0,0,true,1,0,
keras,39,ok,0,0,true,1,0,
keras,40,ok,0,0,true,1,0,
keras,41,ok,0,0,true,5,0,
keras,42,ok,0,0,true,6,4,
keras,43,ok,0,0,true,1,0,
keras,44,ok,0,0,true,1,0,
keras,45,ok,0,0,true,1,0,
luigi,1,real_failure,4,0,true,1,1,
luigi,2,ok,0,0,true,2,0,
luigi,3,ok,0,0,true,1,0,
luigi,4,ok,0,0,true,1,0,
luigi,5,ok,0,0,true,2,0,
luigi,6,ok,0,0,true,8,0,
luigi,7,ok,0,0,true,1,0,
luigi,8,ok,0,0,true,1,0,
luigi,9,ok,0,0,true,3,0,
luigi,10,ok,0,0,true,1,0,
luigi,11,ok,0,0,true,1,0,
luigi,12,ok,0,0,true,1,0,
luigi,13,ok,0,0,true,1,0,
luigi,14,ok,0,0,true,3,0,
luigi,15,ok,0,0,true,1,0,
luigi,16,ok,0,0,true,1,0,
luigi,17,ok,0,0,true,1,0,
luigi,18,ok,0,0,true,1,0,
luigi,19,ok,0,0,true,1,0,
luigi,20,ok,0,0,true,1,0,
luigi,21,ok,0,0,true,1,0,
luigi,22,ok,0,0,true,1,0,
luigi,23,fl_unreachable,0,0,true,3,3,
luigi,24,ok,0,0,true,1,0,
luigi,25,ok,0,0,true,1,0,
luigi,26,ok,0,0,true,1,0,
luigi,27,ok,0,0,true,4,0,
luigi,28,ok,0,0,true,1,0,
luigi,29,ok,0,0,true,1,0,
luigi,30,ok,0,0,true,1,0,
luigi,31,ok,0,0,true,1,0,
luigi,32,ok,0,0,true,0,0,
luigi,33,ok,0,0,true,1,0,
matplotlib,1,ok,0,0,true,4,2,
matplotlib,2,ok,0,0,true,1,0,
matplotlib,3,ok,0,0,true,1,0,
matplotlib,4,ok,0,0,true,4,2,
matplotlib,5,ok,0,0,true,1,0,
matplotlib,6,ok,0,0,true,1,0,
matplotlib,7,ok,0,0,true,1,0,
matplotlib,8,ok,0,0,true,2,0,
matplotlib,9,ok,0,0,true,1,0,
matplotlib,10,ok,0,0,true,1,0,
matplotlib,11,ok,0,0,true,1,0,
matplotlib,12,ok,0,0,true,2,0,
matplotlib,13,ok,0,0,true,1,0,
matplotlib,14,ok,0,0,true,1,0,
matplotlib,15,real_failure,1,0,true,0,0,
matplotlib,16,ok,0,0,true,1,0,
matplotlib,17,ok,0,0,true,1,0,
matplotlib,18,fl_unreachable,0,0,true,1,1,
matplotlib,19,fl_unreachable,0,0,true,1,1,
matplotlib,20,ok,0,0,true,2,0,
matplotlib,21,ok,0,0,true,1,0,
matplotlib,22,ok,0,0,true,1,0,
matplotlib,23,ok,0,0,true,1,0,
matplotlib,24,ok,0,0,true,1,0,
matplotlib,25,ok,0,0,true,1,0,
matplotlib,26,real_failure,8,1,true,0,0,
matplotlib,27,real_failure,8,1,true,0,0,
matplotlib,28,real_failure,8,1,true,0,0,
matplotlib,29,ok,0,0,true,3,0,
matplotlib,30,ok,0,0,true,1,0,
pandas,1,ok,0,0,true,1,0,
pandas,2,ok,0,0,true,2,0,
pandas,3,ok,0,0,true,2,0,
pandas,4,ok,0,0,true,1,0,
pandas,5,fl_unreachable,0,0,true,1,1,
pandas,6,ok,0,0,true,1,0,
pandas,7,ok,0,0,true,1,0,
pandas,8,ok,0,0,true,1,0,
pandas,9,ok,0,0,true,2,0,
pandas,10,ok,0,0,true,1,0,
pandas,11,ok,0,0,true,1,0,
pandas,12,ok,0,0,true,2,0,
pandas,13,ok,0,0,true,4,0,
pandas,14,ok,0,0,true,1,0,
pandas,15,ok,0,0,true,81,52,
pandas,16,ok,0,0,true,2,0,
pandas,17,ok,0,0,true,90,69,
pandas,18,ok,0,0,true,2,0,
pandas,19,ok,0,0,true,1,0,
pandas,20,ok,0,0,true,3,0,
pandas,21,ok,0,0,true,1,0,
pandas,22,ok,0,0,true,3,0,
pandas,23,ok,0,0,true,1,0,
pandas,24,ok,0,0,true,1,0,
pandas,25,ok,0,0,true,1,0,
pandas,26,ok,0,0,true,2,0,
pandas,27,ok,0,0,true,1,0,
pandas,28,ok,0,0,true,1,0,
pandas,29,ok,0,0,true,1,0,
pandas,30,ok,0,0,true,1,0,
pandas,31,ok,0,0,true,1,0,
pandas,32,ok,0,0,true,1,0,
pandas,33,ok,0,0,true,1,0,
pandas,34,ok,0,0,true,1,0,
pandas,35,ok,0,0,true,1,0,
pandas,36,ok,0,0,true,5,0,
pandas,37,ok,0,0,true,1,0,
pandas,38,ok,0,0,true,1,0,
pandas,39,ok,0,0,true,1,0,
pandas,40,ok,0,0,true,2,0,
pandas,41,ok,0,0,true,15,4,
pandas,42,ok,0,0,true,1,0,
pandas,43,ok,0,0,true,2,0,
pandas,44,ok,0,0,true,8,2,
pandas,45,ok,0,0,true,1,0,
pandas,46,ok,0,0,true,2,0,
pandas,47,ok,0,0,true,2,0,
pandas,48,ok,0,0,true,1,0,
pandas,49,ok,0,0,true,1,0,
pandas,50,ok,0,0,true,1,0,
pandas,51,fl_unreachable,0,0,true,1,1,
pandas,52,ok,0,0,true,1,0,
pandas,53,ok,0,0,true,2,0,
pandas,54,ok,0,0,true,1,0,
pandas,55,ok,0,0,true,2,1,
pandas,56,ok,0,0,true,1,0,
pandas,57,ok,0,0,true,2,1,
pandas,58,ok,0,0,true,1,0,
pandas,59,ok,0,0,true,1,0,
pandas,60,ok,0,0,true,1,0,
pandas,61,ok,0,0,true,1,0,
pandas,62,ok,0,0,true,2,1,
pandas,63,ok,0,0,true,1,0,
pandas,64,ok,0,0,true,1,0,
pandas,65,ok,0,0,true,2,0,
pandas,66,ok,0,0,true,2,0,
pandas,67,ok,0,0,true,1,0,
pandas,68,fl_unreachable,0,0,true,1,1,
pandas,69,ok,0,0,true,1,0,
pandas,70,ok,0,0,true,2,0,
pandas,71,ok,0,0,true,1,0,
pandas,72,ok,0,0,true,1,0,
pandas,73,ok,0,0,true,3,0,
pandas,74,ok,0,0,true,1,0,
pandas,75,ok,0,0,true,2,0,
pandas,76,ok,0,0,true,1,0,
pandas,77,ok,0,0,true,1,0,
pandas,78,ok,0,0,true,1,0,
pandas,79,ok,0,0,true,5,3,
pandas,80,ok,0,0,true,3,2,
pandas,81,ok,0,0,true,1,0,
pandas,82,ok,0,0,true,1,0,
pandas,83,ok,0,0,true,3,0,
pandas,84,ok,0,0,true,1,0,
pandas,85,ok,0,0,true,1,0,
pandas,86,ok,0,0,true,1,0,
pandas,87,ok,0,0,true,1,0,
pandas,88,ok,0,0,true,1,0,
pandas,89,ok,0,0,true,1,0,
pandas,90,ok,0,0,true,3,1,
pandas,91,ok,0,0,true,1,0,
pandas,92,ok,0,0,true,4,2,
pandas,93,ok,0,0,true,86,59,
pandas,94,ok,0,0,true,3,2,
pandas,95,ok,0,0,true,1,0,
pandas,96,ok,0,0,true,1,0,
pandas,97,ok,0,0,true,2,0,
pandas,98,ok,0,0,true,1,0,
pandas,99,ok,0,0,true,1,0,
pandas,100,ok,0,0,true,1,0,
pandas,101,ok,0,0,true,1,0,
pandas,102,ok,0,0,true,1,0,
pandas,103,ok,0,0,true,2,0,
pandas,104,ok,0,0,true,1,0,
pandas,105,ok,0,0,true,2,0,
pandas,106,ok,0,0,true,1,0,
pandas,107,ok,0,0,true,1,0,
pandas,108,ok,0,0,true,1,0,
pandas,109,ok,0,0,true,2,0,
pandas,110,ok,0,0,true,1,0,
pandas,111,ok,0,0,true,2,0,
pandas,112,ok,0,0,true,1,0,
pandas,113,ok,0,0,true,1,0,
pandas,114,ok,0,0,true,1,0,
pandas,115,ok,0,0,true,1,0,
pandas,116,ok,0,0,true,1,0,
pandas,117,ok,0,0,true,1,0,
pandas,118,ok,0,0,true,1,0,
pandas,119,ok,0,0,true,1,0,
pandas,120,ok,0,0,true,5,0,
pandas,121,ok,0,0,true,2,0,
pandas,122,ok,0,0,true,1,0,
pandas,123,ok,0,0,true,3,0,
pandas,124,ok,0,0,true,0,0,
pandas,125,ok,0,0,true,2,1,
pandas,126,ok,0,0,true,1,0,
pandas,127,ok,0,0,true,1,0,
pandas,128,ok,0,0,true,1,0,
pandas,129,ok,0,0,true,1,0,
pandas,130,ok,0,0,true,1,0,
pandas,131,ok,0,0,true,2,0,
pandas,132,ok,0,0,true,3,0,
pandas,133,ok,0,0,true,1,0,
pandas,134,ok,0,0,true,0,0,
pandas,135,ok,0,0,true,1,0,
pandas,136,ok,0,0,true,1,0,
pandas,137,ok,0,0,true,1,0,
pandas,138,ok,0,0,true,1,0,
pandas,139,ok,0,0,true,1,0,
pandas,140,ok,0,0,true,1,0,
pandas,141,ok,0,0,true,1,0,
pandas,142,ok,0,0,true,1,0,
pandas,143,ok,0,0,true,1,0,
pandas,144,ok,0,0,true,1,0,
pandas,145,ok,0,0,true,1,0,
pandas,146,ok,0,0,true,2,0,
pandas,147,ok,0,0,true,2,0,
pandas,148,ok,0,0,true,1,0,
pandas,149,real_failure,4,0,true,1,1,
pandas,150,ok,0,0,true,1,0,
pandas,151,ok,0,0,true,1,0,
pandas,152,ok,0,0,true,1,0,
pandas,153,ok,0,0,true,1,0,
pandas,154,ok,0,0,true,1,0,
pandas,155,ok,0,0,true,1,0,
pandas,156,ok,0,0,true,2,0,
pandas,157,ok,0,0,true,1,0,
pandas,158,ok,0,0,true,1,0,
pandas,159,ok,0,0,true,1,0,
pandas,160,ok,0,0,true,1,0,
pandas,161,ok,0,0,true,1,0,
pandas,162,ok,0,0,true,1,0,
pandas,163,ok,0,0,true,1,0,
pandas,164,ok,0,0,true,1,0,
pandas,165,ok,0,0,true,3,0,
pandas,166,ok,0,0,true,1,0,
pandas,167,ok,0,0,true,3,0,
pandas,168,ok,0,0,true,1,0,
pandas,169,ok,0,0,true,1,0,
sanic,1,ok,0,0,true,1,0,
sanic,2,fl_unreachable,0,0,true,1,1,
sanic,3,ok,0,0,true,1,0,
sanic,4,real_failure,8,1,true,0,0,
sanic,5,real_failure,8,1,true,0,0,
scrapy,1,ok,0,0,true,1,0,
scrapy,2,ok,0,0,true,1,0,
scrapy,3,ok,0,0,true,1,0,
scrapy,4,ok,0,0,true,1,0,
scrapy,5,ok,0,0,true,1,0,
scrapy,6,ok,0,0,true,1,0,
scrapy,7,ok,0,0,true,1,0,
scrapy,8,ok,0,0,true,1,0,
scrapy,9,ok,0,0,true,1,0,
scrapy,10,ok,0,0,true,1,0,
scrapy,11,ok,0,0,true,1,0,
scrapy,12,ok,0,0,true,0,0,
scrapy,13,ok,0,0,true,0,0,
scrapy,14,ok,0,0,true,1,0,
scrapy,15,ok,0,0,true,1,0,
scrapy,16,ok,0,0,true,3,0,
scrapy,17,ok,0,0,true,1,0,
scrapy,18,ok,0,0,true,1,0,
scrapy,19,ok,0,0,true,1,0,
scrapy,20,ok,0,0,true,1,0,
scrapy,21,ok,0,0,true,1,0,
scrapy,22,ok,0,0,true,1,0,
scrapy,23,ok,0,0,true,2,0,
scrapy,24,ok,0,0,true,1,0,
scrapy,25,ok,0,0,true,2,0,
scrapy,26,real_failure,4,0,true,2,2,
scrapy,27,ok,0,0,true,1,0,
scrapy,28,ok,0,0,true,1,0,
scrapy,29,ok,0,0,true,1,0,
scrapy,30,ok,0,0,true,2,1,
scrapy,31,ok,0,0,true,3,2,
scrapy,32,ok,0,0,true,1,0,
scrapy,33,real_failure,4,0,true,15,15,
scrapy,34,ok,0,0,true,1,0,
scrapy,35,ok,0,0,true,1,0,
scrapy,36,real_failure,4,0,true,1,1,
scrapy,37,ok,0,0,true,1,0,
scrapy,38,ok,0,0,true,1,0,
scrapy,39,ok,0,0,true,1,0,
scrapy,40,ok,0,0,true,1,0,
spacy,1,ok,0,0,true,1,0,
spacy,2,fl_unreachable,0,0,true,1,1,
spacy,3,ok,0,0,true,1,0,
spacy,4,real_failure,8,1,true,0,0,
spacy,5,ok,0,0,true,1,0,
spacy,6,ok,0,0,true,1,0,
spacy,7,real_failure,1,0,true,1,1,
spacy,8,ok,0,0,true,0,0,
spacy,9,ok,0,0,true,0,0,
spacy,10,ok,0,0,true,0,0,
thefuck,1,ok,0,0,true,1,0,
thefuck,2,ok,0,0,true,1,0,
thefuck,3,ok,0,0,true,1,0,
thefuck,4,ok,0,0,true,1,0,
thefuck,5,ok,0,0,true,1,0,
thefuck,6,ok,0,0,true,2,0,
thefuck,7,ok,0,0,true,1,0,
thefuck,8,ok,0,0,true,2,0,
thefuck,9,ok,0,0,true,1,0,
thefuck,10,ok,0,0,true,1,0,
thefuck,11,ok,0,0,true,1,0,
thefuck,12,fl_unreachable,0,0,true,1,1,
thefuck,13,ok,0,0,true,2,0,
thefuck,14,ok,0,0,true,1,0,
thefuck,15,ok,0,0,true,2,0,
thefuck,16,ok,0,0,true,4,2,
thefuck,17,ok,0,0,true,3,1,
thefuck,18,ok,0,0,true,0,0,
thefuck,19,ok,0,0,true,1,0,
thefuck,20,ok,0,0,true,2,0,
thefuck,21,ok,0,0,true,1,0,
thefuck,22,ok,0,0,true,1,0,
thefuck,23,ok,0,0,true,1,0,
thefuck,24,ok,0,0,true,2,0,
thefuck,25,ok,0,0,true,1,0,
thefuck,26,ok,0,0,true,1,0,
thefuck,27,ok,0,0,true,1,0,
thefuck,28,ok,0,0,true,1,0,
thefuck,29,ok,0,0,true,1,0,
thefuck,30,ok,0,0,true,1,0,
thefuck,31,ok,0,0,true,1,0,
thefuck,32,ok,0,0,true,1,0,
tornado,1,ok,0,0,true,3,1,
tornado,2,ok,0,0,true,1,0,
tornado,3,ok,0,0,true,1,0,
tornado,4,ok,0,0,true,1,0,
tornado,5,ok,0,0,true,1,0,
tornado,6,fl_unreachable,0,0,true,2,2,
tornado,7,ok,0,0,true,1,0,
tornado,8,ok,0,0,true,1,0,
tornado,9,ok,0,0,true,1,0,
tornado,10,ok,0,0,true,2,0,
tornado,11,ok,0,0,true,1,0,
tornado,12,ok,0,0,true,2,0,
tornado,13,ok,0,0,true,1,0,
tornado,14,ok,0,0,true,1,0,
tornado,15,ok,0,0,true,1,0,
tornado,16,ok,0,0,true,2,0,
tqdm,1,ok,0,0,true,1,0,
tqdm,2,ok,0,0,true,2,1,
tqdm,3,ok,0,0,true,1,0,
tqdm,4,ok,0,0,true,1,0,
tqdm,5,ok,0,0,true,1,0,
tqdm,6,ok,0,0,true,1,0,
tqdm,7,ok,0,0,true,0,0,
tqdm,8,ok,0,0,true,1,0,
tqdm,9,ok,0,0,true,4,0,
youtube-dl,1,ok,0,0,true,1,0,
youtube-dl,2,ok,0,0,true,1,0,
youtube-dl,3,ok,0,0,true,1,0,
youtube-dl,4,ok,0,0,true,1,0,
youtube-dl,5,ok,0,0,true,1,0,
youtube-dl,6,ok,0,0,true,2,1,
youtube-dl,7,ok,0,0,true,1,0,
youtube-dl,8,ok,0,0,true,1,0,
youtube-dl,9,ok,0,0,true,1,0,
youtube-dl,10,ok,0,0,true,1,0,
youtube-dl,11,ok,0,0,true,1,0,
youtube-dl,12,ok,0,0,true,1,0,
youtube-dl,13,ok,0,0,true,1,0,
youtube-dl,14,fl_unreachable,0,0,true,2,2,
youtube-dl,15,ok,0,0,true,1,0,
youtube-dl,16,ok,0,0,true,2,1,
youtube-dl,17,ok,0,0,true,0,0,
youtube-dl,18,ok,0,0,true,1,0,
youtube-dl,19,ok,0,0,true,1,0,
youtube-dl,20,ok,0,0,true,1,0,
youtube-dl,21,ok,0,0,true,1,0,
youtube-dl,22,ok,0,0,true,1,0,
youtube-dl,23,ok,0,0,true,1,0,
youtube-dl,24,ok,0,0,true,1,0,
youtube-dl,25,ok,0,0,true,1,0,
youtube-dl,26,ok,0,0,true,1,0,
youtube-dl,27,ok,0,0,true,1,0,
youtube-dl,28,ok,0,0,true,1,0,
youtube-dl,29,ok,0,0,true,1,0,
youtube-dl,30,ok,0,0,true,1,0,
youtube-dl,31,ok,0,0,true,2,1,
youtube-dl,32,ok,0,0,true,2,1,
youtube-dl,33,ok,0,0,true,2,1,
youtube-dl,34,ok,0,0,true,2,1,
youtube-dl,35,ok,0,0,true,2,1,
youtube-dl,36,ok,0,0,true,0,0,
youtube-dl,37,ok,0,0,true,1,0,
youtube-dl,38,real_failure,4,0,true,2,2,
youtube-dl,39,real_failure,4,0,true,2,2,
youtube-dl,40,real_failure,4,0,true,5,5,
youtube-dl,41,ok,0,0,true,1,0,
youtube-dl,42,real_failure,4,0,true,4,4,
youtube-dl,43,ok,0,0,true,1,0,
