Method,Bugs,MFR,MAR,Top1Rate,Top2Rate,Top3Rate,Top4Rate,Top5Rate,MeanWE,TotalInputTokens,TotalCachedTokens,TotalOutputTokens,TotalCostUSD,MeanCostUSD
Agent4LR-M2R3-M3R1-M3R1,560,1.616071,1.752679,0.801786,0.889286,0.932143,0.955357,0.973214,0.046910,10367636,5536896,636527,8.673115,0.015488
Agent4LR-M2R4-M2R4-M2R4,9,1.111111,1.166667,0.888889,1.000000,1.000000,1.000000,1.000000,0.006944,184828,68992,129317,0.289316,0.032146
Agent4LR-M3R1-M1R1-M1R1,560,3.516071,3.789732,0.444643,0.657143,0.737500,0.796429,0.841071,0.174355,9496624,4417792,479603,4.623437,0.008256
Agent4LR-M3R1-M1R1-M3R1,560,1.858929,2.041369,0.767857,0.860714,0.916071,0.939286,0.953571,0.066785,9496624,4426112,479603,6.705005,0.011973
Agent4LR-M3R1-M2R1-M2R1,560,1.875893,2.012500,0.741071,0.869643,0.919643,0.944643,0.951786,0.061301,16150128,3939584,521334,7.672715,0.013701
Agent4LR-M3R1-M2R1-M3R1,560,1.700000,1.823363,0.782143,0.880357,0.935714,0.951786,0.966071,0.048727,16148949,4772736,521453,9.121966,0.016289
Agent4LR-M3R1-M2R2-M3R1,560,1.689286,1.831548,0.787500,0.880357,0.935714,0.953571,0.966071,0.052066,11337140,6281216,689045,7.310384,0.013054
Agent4LR-M3R1-M2R3-M3R1,560,1.688393,1.819345,0.796429,0.891071,0.935714,0.951786,0.964286,0.049515,11596816,6536960,1735132,9.328404,0.016658
Agent4LR-M3R1-M3R1-M1R1,560,3.096429,3.364583,0.492857,0.676786,0.780357,0.841071,0.878571,0.146742,11034767,5550592,506168,10.765010,0.019223
Agent4LR-M3R1-M3R1-M2R1,560,1.766964,1.918750,0.741071,0.858929,0.919643,0.946429,0.967857,0.057444,11034767,4956928,506070,11.208231,0.020015
Agent4LR-M3R1-M3R1-M2R2,560,1.840179,1.994048,0.762500,0.862500,0.921429,0.944643,0.955357,0.061631,11034767,4956928,625960,11.448012,0.020443
Agent4LR-M3R1-M3R1-M2R3,560,1.735714,1.892411,0.780357,0.882143,0.932143,0.950000,0.962500,0.055157,11034767,4956928,862723,11.921536,0.021288
Agent4LR-M3R1-M3R1-M3R1,560,1.711607,1.862649,0.789286,0.880357,0.926786,0.946429,0.966071,0.053939,11066584,4976512,506614,13.300786,0.023751
Agent4LR-M3R2-M1R1-M1R1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,33733,20864,1050,0.008280,0.008280
Agent4LR-M3R2-M2R1-M2R1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,27475,12416,998,0.012076,0.012076
Agent4LR-M3R3-M1R1-M1R1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,20703,10240,2163,0.020897,0.020897
Agent4LR-M3R3-M2R1-M2R1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,21341,6528,2193,0.024505,0.024505
Agent4LR-Q2R0-Q2R0-Q2R0,4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0,0,0,0.000000,0.000000
Agent4LR-Q2R1-Q2R0-Q2R1,4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0,0,0,0.000000,0.000000
